Args got
indir None
outdir /home/ec2-user/ThermoDrift/experiments/trainv5/
Data loaded
ESM1b loaded
Classifier, optimizer, and criterion compiled
Using device cuda:0
Moved tensors to cuda:0
Dataloaders built
Number of parameters classifier:  172419
Number of parameters esm1b:  652359094
Now beginning training
outputs [[0.33585304021835327, 0.32483020424842834, 0.33931681513786316]]  lables [1]
outputs [[0.3305928409099579, 0.3163369297981262, 0.3530702292919159]]  lables [2]
outputs [[0.33089810609817505, 0.3436617851257324, 0.32544007897377014]]  lables [1]
outputs [[0.3292621970176697, 0.3173414468765259, 0.35339638590812683]]  lables [2]
outputs [[0.32791173458099365, 0.33240067958831787, 0.3396875858306885]]  lables [1]
outputs [[0.33303627371788025, 0.3093450367450714, 0.35761862993240356]]  lables [1]
outputs [[0.34004291892051697, 0.3288195729255676, 0.3311375081539154]]  lables [1]
outputs [[0.33597227931022644, 0.3301171362400055, 0.33391064405441284]]  lables [0]
outputs [[0.3303696811199188, 0.3326413929462433, 0.3369889259338379]]  lables [1]
outputs [[0.3300584852695465, 0.3178187310695648, 0.3521227538585663]]  lables [1]
outputs [[0.3343468904495239, 0.31638726592063904, 0.34926584362983704]]  lables [1]
outputs [[0.3349275588989258, 0.3214920163154602, 0.3435804843902588]]  lables [0]
outputs [[0.3346705138683319, 0.32838019728660583, 0.33694928884506226]]  lables [2]
outputs [[0.33123287558555603, 0.32519012689590454, 0.3435770273208618]]  lables [0]
outputs [[0.33030253648757935, 0.3313537538051605, 0.33834367990493774]]  lables [0]
outputs [[0.3423175811767578, 0.3286997079849243, 0.32898271083831787]]  lables [0]
outputs [[0.3335758447647095, 0.31381216645240784, 0.3526119887828827]]  lables [0]
outputs [[0.3420012593269348, 0.3190850019454956, 0.33891376852989197]]  lables [2]
outputs [[0.3311764895915985, 0.3156837224960327, 0.353139728307724]]  lables [1]
outputs [[0.32885751128196716, 0.3276171088218689, 0.34352535009384155]]  lables [0]
outputs [[0.3354553282260895, 0.32280489802360535, 0.34173980355262756]]  lables [0]
outputs [[0.33214691281318665, 0.31808996200561523, 0.3497631251811981]]  lables [1]
outputs [[0.3297509253025055, 0.32953622937202454, 0.3407128155231476]]  lables [2]
outputs [[0.33347421884536743, 0.3150692284107208, 0.35145655274391174]]  lables [0]
outputs [[0.3329694867134094, 0.3198970854282379, 0.34713345766067505]]  lables [2]
outputs [[0.3417109251022339, 0.331728458404541, 0.3265606164932251]]  lables [0]
outputs [[0.3272985517978668, 0.3274069130420685, 0.3452945053577423]]  lables [2]
